tweet,user_id,created_at
"The strategic #Bitcoin ETF approval will send the price to $150,000!🚀
#BTC #ETH #SOL #MEMECoin #PiNetwork #Trump #Digital #LIBRA #Trump 
 https://t.co/NgsiBbc0IE https://t.co/IwDQ9trENu",1878888827093454850,2025-02-19 13:22:06+00:00
"@xoPoncho @Ashcryptoreal Did you know??? $Pi is the American made blockchain which $BTA 🇺🇸 Bitcoin America is on. Follow for $Pi updates, $BTA updates and other crypto news. The higher $Pi goes, the higher $BTA flies.",1821243135474761728,2025-02-19 13:22:06+00:00
"The strategic #Bitcoin ETF approval will send the price to $150,000!🚀
#BTC #ETH #SOL #MEMECoin #PiNetwork #Trump #Digital #LIBRA #Trump 
 https://t.co/kBzQVGA7zL https://t.co/uCalL6Qfwo",1878679442027110400,2025-02-19 13:22:06+00:00
"Institutional-grade Bitcoin rewards sound like a job for a decentralized workforce! 

Imagine the data labeling possibilities. https://t.co/qfxm83EwJJ",1021674226162356224,2025-02-19 13:22:06+00:00
@Bitcoin_Curtis @CameronsCoffee @jcrpntr wow! pretty good. i grew up drinking Kashmiri kehwa and Lipton milk tea. coffee was once in a while thing for us 😆.,23269172,2025-02-19 13:22:06+00:00
@IvanOnTech It will live! The dog bitcoin community is joining forces with solana today. an unruggable fairly distributed culture coin with a community that has a multi cycle hodl mentality.,1771028856025034752,2025-02-19 13:22:06+00:00
@CosmosHOSS That's a lot of power I didn't realize Bitcoin consumes so much energy.,951758575143043072,2025-02-19 13:22:05+00:00
"The strategic #Bitcoin ETF approval will send the price to $150,000!🚀
#BTC #ETH #SOL #MEMECoin #PiNetwork #Trump #Digital #LIBRA #Trump 
 https://t.co/BIoH585LSU https://t.co/mDXoNZAiFW",1879358980709068802,2025-02-19 13:22:05+00:00
"@weecrunchie @anonsweb3 Congratulations🎁🎉 You won $7,000 giveaway randomly
So kindly send your ETH or Bitcoin  wallet address in private",1035997476,2025-02-19 13:22:04+00:00
@Savage16May The atm's are revolting against Cibc they don't want to work 24/7 giving out cash. #Bitcoin fixes this,1345341012856729603,2025-02-19 13:22:04+00:00
